N�;Localite;Longitude;Latitude;Prof_Tle;Debit
95;SAWARDJOAGA   I;"00°03'3""E";"11°00'4""";63;2,24
96;SAFOBE II;"00°07'2""E";"11°03'0""";77;2,8
97;YORGOU;"00°07'1""E";"11°02'1""";60;3,5
98;TODJENGUE;"00°12'4""E";"11°00'4""";54;3,6
99;NADJOUNDI CENTRE;"00°11'2""E";"11°00'2""";;
100;GABONGBONGUE;"00°04'1""E";"11°01'0""";50;
101;KALKANTIDE (CALGUANTIDI);"00°06'1""E";"11°01'4""";46,2;2,7
102;PIZOSGA;"00°07'5""E";"11°02'1""";45,3;9,9
103;SAWARDJOAGA   I;"00°03'3""E";"11°00'5""";44;7,5
104;KARMONTONGUE;"00°05'5""E";"11°02'1""";43;0,7
105;CINKASSE CENTRE;"00°01'0""E";"11°05'2""";;
106;CINKASSE CENTRE;"00°02'2""E";"11°05'4""";;
107;BABIGOU;"00°11'5""E";"11°03'1""";;
108;MAMPOATE MOBA;"00°02'1""E";"11°01'1""";;
109;SANKARGOU;"00°08'1""E";"11°00'5""";;
110;SANKARGOU;"00°08'1""E";"11°01'0""";;
111;NADJOUNDI;"00°11'1""E";"11°00'1""";60,13;0,277
112;NADJOUNDI;"00°11'1""E";"11°00'2""";71,63;
113;KPEGUEDJENTE;"00°07'0""E";"11°05'0""";42,6;9
114;KANGBE;"00°03'1""E";"11°01'4""";42,77;9
115;TONGA;"00°03'0""E";"11°00'5""";42,77;7,2
116;TAMONDJORE;"00°09'1""E";"10°59'4""";41,71;9,2
117;KORENZOAGA  I;"00°05'5""W";"11°07'4""";45,8;2,25
118;NATINGA;"00°06'1""W";"11°06'5""";70,28;0,24
119;BABIDJOAL;"00°11'2""E";"11°03'5""";45,82;1,125
120;PILOUGOU-CENTRE;"00°12'0""E";"11°01'1""";45,95;16
121;NADJOUNDI;"00°11'1""E";"11°00'2""";42,78;
122;NATINGA;"00°06'1""W";"11°07'0""";41,46;4,5
123;KODINZOAGA  II;"00°06'5""W";"11°07'5""";32,48;2,571
124;LONLONGOU;"00°07'4""E";"11°00'3""";52,12;7
125;TINTODIGUINE  I;"00°11'4""E";"11°01'3""";42,77;6
126;GBATEMANOU;"00°02'4""E";"11°01'5""";43,18;21,6
127;YOAKPATE;"00°02'5""E";"11°03'0""";61,3;3,4
128;MAMPOATE MOBA;"00°02'2""E";"11°01'3""";49,27;24
129;GABONGBONGUE;"00°04'0""E";"11°00'5""";49,32;8,1
130;SAWARDJOAGA  II;"00°03'3""E";"11°00'2""";85,82;0,3
131;KANGETCHOAKE;"00°03'2""E";"11°01'5""";61,44;5,8
132;GARO;"00°03'4""E";"11°02'5""";43,23;16,2
133;SAMOMONI;"00°01'3""E";"11°03'1""";61,57;6,48
134;BOADE CENTRE;"00°03'4""W";"11°06'4""";55,38;1,8
135;KORENZOAGA  I;"00°05'4""W";"11°07'4""";79,91;20,2
136;CINKASSE CENTRE;"00°01'2""E";"11°05'5""";55,34;6,4
137;GOULOUNGOUSSI;"00°06'5""W";"11°06'1""";73,71;0,15
138;BABIGOU;"00°10'3""E";"11°02'5""";61,43;7,2
139;SAM-NABA;"00°09'2""E";"11°04'4""";98,08;2
140;NAMOUDJOATE;"00°11'1""E";"11°03'2""";55,39;1,714
141;SAFOBE II;"00°07'3""E";"11°03'2""";61,55;9
142;NASSIEGOU;"00°06'5""E";"11°05'0""";61,46;3
143;DATOULONTE;"00°08'2""E";"10°59'1""";61,43;12,6
144;DATOULONTE;"00°08'4""E";"10°59'1""";61,52;10,8
145;TIMBOU;"00°06'5""E";"11°01'5""";61,35;32,4
146;TCHIMBIANGBONGUE;"00°06'5""E";"10°59'4""";73,74;0,45
147;TCHIMBIANGBONGUE;"00°06'5""E";"10°59'4""";55,45;3,276
148;LONLONGOU;"00°08'0""E";"10°59'5""";73,58;5,8
149;NANLONGUE I;"00°10'0""E";"11°00'1""";49,32;1,3
150;BONDANTCHALE;"00°09'2""E";"11°02'4""";61,55;21,6
151;GARO;"00°04'2""E";"11°03'1""";61,47;0,75
152;LIYATIALOU;"00°05'3""E";"10°59'5""";43,27;1,333
153;NASSIEGOU;"00°06'5""E";"11°05'0""";;
154;FANWORGOU;"00°10'1""E";"11°01'2""";43,1;7,2
155;NANLONGUE I;"00°10'1""E";"11°00'1""";73,68;0,3
156;SAM-NABA;"00°09'4""E";"11°04'0""";51,65;4,9
157;NALONGUE;"00°10'0""E";"10°59'4""";67,66;8,1
