N�;Localite;Longitude;Latitude;Prof_Tle;Debit
410;KOUNDJOARE;"00°33'5""E";"10°53'2""";73,66;1,8
411;SANLOAGA;"00°47'2""E";"10°58'0""";61,34;0,65
412;TAMBATE;"00°39'0""E";"10°56'2""";79,85;1,4
413;TIGOU;"00°39'2""E";"10°56'1""";73,66;8,1
414;GNANLE;"00°39'3""E";"10°53'0""";;0,598
415;OGARO;"00°29'1""E";"10°44'4""";49,31;10,8
416;DJAPORE;"00°36'4""E";"10°54'3""";67,6;2,596
417;MANDOURI;"00°48'5""E";"10°50'4""";67,68;1,44
418;TAMBONGA;"00°26'2""E";"10°57'0""";61,43;6,48
419;KADEGLI;"00°25'4""E";"10°41'3""";79,9;1,4
420;TANTCHIAGOU;"00°24'2""E";"10°45'0""";130,62;0,63
421;OGARO;"00°28'0""E";"10°43'0""";130,44;0,818
422;GALBAGOU;"00°27'3""E";"10°45'1""";73,7;1,536
423;KONANGOU;"00°27'1""E";"10°45'4""";49,34;2,4
424;NAMATOUGOU;"00°30'5""E";"10°48'0""";61,6;2,4
425;BONTOGBANGBANGOU;"00°30'2""E";"10°44'3""";55,39;32,4
426;SANKORTCHAGOU;"00°37'1""E";"10°59'2""";61,46;6,4
427;OYEGOUGBANGBANG;"00°34'5""E";"10°46'2""";;
428;TAMBATE;"00°38'2""E";"10°56'2""";;
429;NALOUATE;"00°22'2""E";"10°56'0""";49,02;10
430;NAMOUNDJOGA;"00°22'0""E";"10°54'4""";48,74;12,9
431;DJABDJOARE  I;"00°38'0""E";"10°56'3""";55,18;0,618
432;MALGBANGOU;"00°27'2""E";"10°55'4""";55,16;2,72
433;KPAGNOILE;"00°26'1""E";"10°56'4""";49;10,55
434;TCHAWALGOU;"00°26'1""E";"10°55'2""";55,08;2
435;NAYEGA;"00°25'1""E";"10°44'5""";55,24;1,98
436;BOMBENGOU;"00°31'1""E";"10°44'4""";61,29;10,3
437;OGARO;"00°28'2""E";"10°44'4""";;
438;OGARO;"00°27'3""E";"10°44'3""";55,22;1,357
439;KPEMBONA;"00°25'3""E";"10°57'1""";55;2,4
440;DJABDJOARE  II;"00°37'2""E";"10°56'2""";49,03;9,9
441;DIELO;"00°32'1""E";"10°54'4""";59,91;0,45
442;KPEMPIGOU;"00°28'2""E";"10°44'1""";67,48;1
443;POGNO;"00°29'4""E";"10°56'1""";61,23;0,66
444;TCHIMOURI;"00°33'1""E";"10°56'2""";42,88;13,79
445;TAMBONGA;"00°26'0""E";"10°57'1""";42,88;2,7
446;KOUNDJOARE;"00°38'3""E";"10°56'3""";67,54;
447;TAMBONGA;"00°26'0""E";"10°57'0""";55,12;2,6
448;TCHIMOURI;"00°33'2""E";"10°56'0""";79,54;0,9
449;NAPAGOU;"00°32'2""E";"10°47'2""";;
450;BOMBENGOU;"00°31'1""E";"10°45'3""";61,29;10,3
451;NADANO;"00°28'3""E";"10°57'1""";48,98;1,95
452;POGNO;"00°30'1""E";"10°58'2""";43,26;2,7
453;BAGRE;"00°43'3""E";"10°52'3""";98,15;0,7
454;DONGA;"00°48'1""E";"10°48'5""";92,03;0,571
455;MANDOURI;"00°49'0""E";"10°50'4""";104,4;0,3
456;NATARE;"00°24'4""E";"10°48'5""";95,2;
457;PAPRI - CENTRE;"00°25'3""E";"10°59'3""";;
458;BIAGOU;"00°21'4""E";"10°41'1""";52,44;4,32
459;TANTCHIMOU;"00°23'5""E";"10°41'0""";74,3;1,4
460;TANTCHIMOU;"00°24'1""E";"10°41'1""";73,58;4,5
461;NAKPATANGOU;"00°24'3""E";"10°46'2""";50,15;3,9
462;NALOUATE  II;"00°22'5""E";"10°55'3""";66,5;3,9
463;MALGBANGOU;"00°28'4""E";"10°54'4""";53,52;3,4
464;YAMADJOAGA;"00°27'2""E";"10°55'4""";37,23;0,72
465;SOGOU;"00°22'4""E";"10°45'4""";123;
466;SANLOAGA;"00°47'1""E";"10°58'0""";;
467;SOG-BOGOU;"00°24'5""E";"10°52'1""";;
468;WALGOU;"00°39'5""E";"10°44'4""";;
469;KPENTENDJOAGA;"00°33'0""E";"10°47'1""";49,34;3
470;NAMBONGA;"00°24'4""E";"10°50'0""";37,24;4,864
471;KPEMPIAGOU;"00°19'5""E";"10°45'1""";88,16;6,171
472;DJABONLI;"00°27'4""E";"10°40'5""";78,45;1,8
473;NAMBONGA;"00°23'5""E";"10°40'2""";108;0,9
474;KADEGLI;"00°25'0""E";"10°41'4""";58,69;1,2
475;DJIPIENTAMBIGOU;"00°20'5""E";"10°47'1""";58,69;14,79
476;TAMBANGOU;"00°19'4""E";"10°48'0""";58,64;1,382
477;FOBENGA;"00°20'5""E";"10°45'3""";43,3;3,6
478;SANTONGOU;"00°24'3""E";"10°40'3""";40,3;16
479;SAMBEN FOANE;"00°34'2""E";"10°45'4""";130;1
480;GNANLE;"00°40'1""E";"10°51'5""";49,31;10,8
481;TIERGOU;"00°17'4""E";"10°45'5""";116,28;1,098
482;MALDJOARE;"00°39'2""E";"10°43'3""";87,78;0,939
483;BONTOGBANGBANGOU;"00°29'5""E";"10°43'3""";41,09;0,818
484;KONGBANLI;"00°24'5""E";"10°53'4""";79,95;0,65
485;DIELO;"00°32'0""E";"10°54'5""";40,15;1,5
486;SALIMBAGOU;"00°28'0""E";"11°00'4""";48,25;6,5
487;GBAMONTE;"00°27'3""E";"11°00'5""";42,67;10,8
488;NAPAGOU;"00°30'3""E";"10°47'2""";122,33;0,81
489;TITIAGOU;"00°21'1""E";"10°41'0""";110,16;4,205
490;NATONGOU  II;"00°37'2""E";"10°47'1""";85,73;0,8
491;TELIGA;"00°34'0""E";"10°54'3""";49,18;1,2
492;KPAPORGA;"00°33'3""E";"10°44'5""";49,12;1,2
493;KPAPORGA;"00°33'3""E";"10°45'0""";55,26;0,9
494;SAWAGA;"00°23'2""E";"10°44'0""";;
495;BOUMBOUNLI;"00°21'4""E";"10°43'5""";;
496;MALGBANGOU;"00°28'0""E";"10°55'1""";46,9;6
497;NAKPIEL;"00°25'0""E";"10°56'4""";58,2;12
498;DJAMOTIGA;"00°23'4""E";"10°42'1""";79,75;0,8
499;NAMBONGA;"00°23'5""E";"10°41'0""";85,73;1,2
500;BAGRE-TAMBIMA;"00°43'3""E";"10°52'4""";104,86;0,9
501;DONGA;"00°48'2""E";"10°48'5""";109,88;1,1
502;DJIYEGA;"00°34'3""E";"10°51'0""";91,95;0,8
503;NATCHAMBONGA CENTRE;"00°36'0""E";"10°50'2""";91,86;0,9
504;NAKPATANGOU;"00°24'4""E";"10°46'2""";91,86;3,9
505;TCHIMBIANGOU;"00°24'1""E";"10°56'5""";43,12;2
506;NADJOUOT;"00°21'4""E";"10°53'4""";;
507;BOANKARLE;"00°29'1""E";"10°55'2""";;
508;TALGAMBOUNDI;"00°14'2""E";"11°03'0""";39,61;2
509;DJAGOGA;"00°22'2""E";"10°57'3""";44,81;21
510;BONGONGONA;"00°23'4""E";"10°59'1""";42,77;6
511;GNIEMANGA;"00°30'2""E";"10°57'0""";37;6
512;BOUMBOUNLI;"00°21'4""E";"10°43'5""";70;0,9
513;TAMBONGA;"00°26'1""E";"10°57'1""";40,9;7,2
514;BOULGA;"00°27'1""E";"10°47'2""";40;2,07
515;GNINYARGOU;"00°22'5""E";"10°55'5""";40,9;16
516;KANKAMOMBIAGOU;"00°28'0""E";"10°51'4""";42;9
517;SANLOAGA;"00°46'5""E";"10°58'1""";40,18;7,2
518;BAGRE-TANTCHAL;"00°44'1""E";"10°52'0""";55,28;0,92
519;SAGUIDJOAGA;"00°40'5""E";"10°41'0""";74,8;0,72
520;TAMBATE;"00°38'4""E";"10°56'3""";43,23;6
521;KPEMBONA;"00°33'1""E";"10°54'4""";44,85;12
522;NALOUATE;"00°22'1""E";"10°55'5""";74,84;0,8
523;DIGBANGBANGANGOU;"00°21'4""E";"10°53'3""";49,79;3,6
524;KOUAMPANTE;"00°24'4""E";"11°01'2""";39,84;3,6
525;NAMOUNOU;"00°25'2""E";"11°00'3""";49,92;2
526;KPENDJAGA;"00°24'4""E";"10°59'1""";49,8;1,8
527;TOUMPORGOU I;"00°27'0""E";"10°58'5""";39,77;10
528;DJIGNIANDJOGA;"00°29'2""E";"11°00'0""";54,75;7,2
529;TOLONKARGA  I;"00°27'2""E";"10°57'4""";79,9;0
530;TOLONKARGA  II;"00°26'1""E";"10°57'2""";55;2,1
531;NALOUATE  II;"00°21'4""E";"10°55'2""";;2,2
532;TOLONKARGA  II;"00°26'1""E";"10°57'2""";;7,5
533;GALBAGOU;"00°27'5""E";"10°45'1""";;
534;BAGRE-TANTCHAL;"00°44'1""E";"10°52'0""";85,88;1
535;KANGOUNOU;"00°39'0""E";"09°59'5""";38,95;1,5
536;KANGOUNOU;"00°38'5""E";"09°59'4""";;
537;N'FOUTCHE;"00°39'0""E";"09°56'3""";;
538;N'FOUTCHE;"00°39'0""E";"09°56'0""";31,34;1,6
539;BARKOISSI;"00°17'5""E";"10°33'1""";47,1;1,6
540;TOSSARA;"00°18'5""E";"10°32'4""";80;1,75
541;DJE-BOURI;"00°45'3""E";"10°21'2""";57,33;11
542;KOUTOUCH;"00°46'0""E";"10°21'2""";;
543;NAMKPANA;"00°45'1""E";"10°20'5""";;
544;OUYOL;"00°45'1""E";"10°21'3""";62,25;3
545;NADAGA;"00°42'3""E";"10°26'2""";47;12,7
546;NASSIEGOU I;"00°18'4""E";"10°35'1""";;
547;NABAB 2;"00°19'1""E";"10°34'2""";;1,2
548;NADJIR;"00°15'4""E";"10°34'5""";41;33
549;NASSONGUE;"00°15'0""E";"10°34'3""";77;0,8
550;DANKOUR;"00°19'3""E";"10°36'1""";59;4
551;DANKOUR;"00°19'5""E";"10°37'3""";43,25;3
552;GALANGASHIE;"00°21'1""E";"10°30'2""";66;3
553;GALANGASHIE;"00°21'1""E";"10°30'3""";58;3
554;KADJITIERI  II;"00°23'4""E";"10°35'1""";41,2;2,2
555;MOGOU;"00°38'4""E";"10°23'2""";47;11,8
556;MOGOU;"00°39'0""E";"10°24'4""";46,16;3
557;MOGOU;"00°38'2""E";"10°23'0""";43;3
558;KOUGNIERI;"00°37'5""E";"10°21'1""";33;11,8
559;NAGBEKTI;"00°37'2""E";"10°24'3""";;
560;TAMONGA;"00°22'5""E";"10°35'2""";29,2;1,8
561;NAMOUBAGA II;"00°21'1""E";"10°38'3""";;1,2
562;KPEBONGA;"00°21'0""E";"10°37'2""";;3
563;BIAGA;"00°25'5""E";"10°38'0""";47;3,6
564;NAMONI;"00°44'4""E";"10°19'5""";51;8
565;NAMONI;"00°45'0""E";"10°19'3""";51;5
566;NAMONI;"00°44'4""E";"10°19'4""";53;13,3
567;KPAKPABOU;"00°27'1""E";"10°00'3""";59;13,3
568;TAKPAMBA;"00°34'1""E";"09°58'0""";47;13,3
569;TAKPAMBA;"00°34'3""E";"09°58'0""";47;4,4
570;DJANDJATIE;"00°33'4""E";"09°57'4""";35,1;3
571;LENIDO;"00°35'5""E";"09°56'5""";78,1;1,8
572;N'LIKPA;"00°34'1""E";"09°54'0""";47;13,3
573;KANGOUNOU;"00°38'3""E";"09°59'5""";47,5;3,026
574;KANGOUNOU;"00°38'1""E";"09°59'2""";;
575;BOULE;"00°47'3""E";"10°18'1""";;
576;NASSIKA;"00°44'2""E";"10°21'5""";65,2;3,085
577;DJE-DJABOU;"00°43'5""E";"10°19'1""";41;8,5
578;WOGOU;"00°41'4""E";"10°21'0""";44,6;2,6
579;DANWOGA;"00°43'3""E";"10°24'4""";53;12
580;KARBONGOU;"00°32'4""E";"09°58'4""";35;13
581;BARKOISSI;"00°18'1""E";"10°33'3""";35;
582;NANDJONKARGOU;"00°45'4""E";"10°18'2""";47;7,5
583;TCHAMONGA;"00°43'5""E";"10°33'2""";77;7
584;TCHAMONGA;"00°44'1""E";"10°33'4""";53;9
585;TAKPAPIENI;"00°52'0""E";"10°15'4""";47,1;12,7
586;TAKPAPIENI;"00°52'3""E";"10°15'2""";57,1;13
587;GNIFALE;"00°49'5""E";"10°17'1""";66;1,47
588;KOUGNIERI;"00°38'0""E";"10°22'3""";;
589;SIEGOU;"00°22'3""E";"10°40'3""";40;4
590;BIAGA;"00°26'0""E";"10°37'3""";31,9;2,019
591;KOMANOU (DJAMON-TIAKA);"00°37'5""E";"10°18'2""";47;11
592;DJAKPANI;"00°40'3""E";"10°18'1""";53;12,5
593;SAKOU;"00°47'4""E";"10°21'0""";59;4
594;NANDJONKARGOU;"00°46'2""E";"10°19'4""";73;2
595;TOKPLI;"00°41'3""E";"10°25'0""";;
596;LANLALE;"00°45'3""E";"10°23'5""";53,3;0,83
597;KANWOUNKA;"00°50'1""E";"10°13'5""";47;12,7
598;NKPE 1;"00°37'2""E";"09°57'1""";47,1;2,8
599;OSSEOU;"00°53'1""E";"10°16'0""";62;1,575
600;LIKPIEKA;"00°51'3""E";"10°13'2""";47;12,7
601;DJAHANI;"00°39'5""E";"10°24'2""";51;7
602;KOUWAKOU I;"00°21'2""E";"10°31'2""";68;0,962
603;NAMOUBAGA I;"00°22'1""E";"10°38'4""";59,41;3,836
604;NAGBENI CENTRE;"00°24'5""E";"10°37'0""";;
605;KPEBONGA;"00°17'0""E";"10°35'2""";35;3
606;DJAMBADJOGA;"00°45'2""E";"10°24'5""";47;1,5
607;AYABA  A;"00°42'2""E";"10°22'2""";;
608;NANTIEGA;"00°40'0""E";"10°26'3""";65,5;0
609;BARKOISSI;"00°17'5""E";"10°30'0""";71;0,2
610;DOMAN;"00°20'4""E";"10°30'5""";;
611;MOGOU;"00°38'4""E";"10°23'1""";41;1,5
612;DOGBOGUE;"00°20'0""E";"10°38'3""";;
613;NAMONI;"00°44'4""E";"10°19'3""";37,7;9
614;NAMONI;"00°44'5""E";"10°19'2""";32;3,927
615;NAMONI;"00°44'3""E";"10°19'4""";30;3
616;TAKPAMBA;"00°34'3""E";"09°58'1""";34,6;3
617;TAKPAMBA;"00°34'3""E";"09°57'5""";31,6;3
618;TAKPAMBA;"00°34'4""E";"09°58'1""";50;4
619;DJANDJATIE;"00°33'4""E";"09°57'1""";35;8
620;NAMOUKOU;"00°34'0""E";"09°54'5""";45;2
621;KANGOUNOU;"00°38'2""E";"09°59'4""";;
622;BOULE;"00°47'5""E";"10°17'5""";;
623;DJE-DJABOU;"00°44'0""E";"10°20'0""";47;3
624;WOGOU;"00°41'5""E";"10°21'3""";53;7
625;SAPIEKOU;"00°41'2""E";"10°19'4""";34,12;2
626;DANWOGA;"00°43'0""E";"10°24'5""";53;1,5
627;TCHAMONGA;"00°43'5""E";"10°33'5""";41;3
628;TCHAMIGNOTI;"00°31'1""E";"10°38'0""";41;1,5
629;TAKPAPIENI;"00°52'1""E";"10°15'2""";59;12
630;POUKPIELOKO;"00°17'0""E";"10°33'4""";;
631;KOMANOU (DJAMON-TIAKA);"00°37'1""E";"10°18'0""";;
632;KOMANOU (DJAMON-TIAKA);"00°38'4""E";"10°18'3""";;
633;PAPOUNI-KPA;"00°41'0""E";"10°17'1""";25,6;6
634;PAPOUNI-KPA;"00°41'4""E";"10°17'0""";37,6;5
635;NKPE 2;"00°37'2""E";"09°57'1""";41;3
636;NAGBENI CENTRE;"00°23'4""E";"10°36'4""";78,12;1,397
637;NAGBENI CENTRE;"00°23'2""E";"10°37'0""";70,9;2,019
638;BIGOU;"00°22'4""E";"10°28'4""";71;0,8
639;BIAGA;"00°27'1""E";"10°37'2""";28,8;3
640;N'SUETCHIN;"00°44'2""E";"10°19'5""";34,8;6
641;DJE-BABOU II;"00°43'1""E";"10°19'2""";45;10
642;KOLDAGA;"00°45'3""E";"10°26'3""";46,14;3,223
643;NAGBANDI;"00°45'5""E";"10°20'3""";37,8;3
644;KPAGNALE;"00°47'5""E";"10°19'2""";53,1;3
645;KPEGUINI;"00°40'2""E";"10°19'1""";71;2
646;NAFOURI;"00°38'1""E";"10°19'5""";29,2;5
647;NAKITONI;"00°40'5""E";"10°26'3""";65;0,8
648;N'FOUTCHE;"00°39'1""E";"09°56'1""";37;9
649;N'FOUTCHE;"00°39'1""E";"09°56'4""";39,29;3,2
650;NAMBOSSI;"00°37'5""E";"09°54'1""";42,65;2,5
651;NAMBOSSI;"00°37'2""E";"09°53'4""";;
652;KPENTCHANI;"00°38'5""E";"10°26'1""";53,28;1,1
653;BOR;"00°35'3""E";"09°54'1""";59;9
654;NALOKOU;"00°32'2""E";"09°58'2""";;
655;NAYAKA;"00°46'0""E";"10°20'0""";35,5;1,3
656;SIKPANLE;"00°48'1""E";"10°19'5""";59,39;1,3
657;MIEMONI;"00°48'3""E";"10°18'4""";41,26;4
658;IKABTCHE;"00°49'2""E";"10°15'5""";43,83;3
659;GNAGBEB;"00°48'0""E";"10°16'5""";;
660;LINABILE;"00°48'1""E";"10°14'5""";;
661;DJANHALE;"00°41'5""E";"10°28'1""";;
662;NATEMBAGA;"00°42'3""E";"10°31'0""";;
663;KOROKOU;"00°47'1""E";"10°34'5""";41;2
664;TOPIEGA;"00°45'5""E";"10°32'1""";41;3
665;KPOKOU;"00°42'4""E";"10°29'2""";61,28;0,6
666;NAKPAGDJOAGA;"00°43'0""E";"10°27'2""";35;1,5
667;NAPELKANGUE;"00°20'2""E";"10°40'1""";86;0,9
668;GBANGBAMONA;"00°23'3""E";"10°35'2""";71;0,8
669;BALITIGOU;"00°12'3""E";"10°31'0""";47;12
670;BOUMBOUMIGOU;"00°11'3""E";"10°30'2""";59;9
671;BANDJA-TOMONGUE;"00°13'2""E";"10°31'5""";79,6;
672;BOUGOU;"00°18'2""E";"10°37'5""";;
673;TOUMONLOGOU;"00°20'3""E";"10°35'1""";62;0,8
674;NABAB 2;"00°19'5""E";"10°35'0""";;
675;KEREKETE  I;"00°13'3""E";"10°29'4""";65;0,9
676;NAKPATI;"00°49'1""E";"10°21'0""";34,64;3,6
677;TAMONGUE;"00°21'1""E";"10°35'3""";59;1,5
678;NATENGOLKA;"00°30'4""E";"10°35'0""";;
679;MOGOU;"00°38'1""E";"10°23'1""";80;2,78
680;SAPIEKOU;"00°41'5""E";"10°19'5""";66,2;0,5
681;KOKO-MONDI;"00°40'5""E";"10°20'5""";57,13;5
682;NAGBENI CENTRE;"00°23'4""E";"10°37'3""";70,16;1,5
683;NKPE 1;"00°37'3""E";"09°57'3""";52;3,02
684;NKPE 1;"00°37'4""E";"09°57'3""";62;1,54
685;PAKABE-DIKA;"00°27'3""E";"10°02'0""";;
686;NAMOUBAGA I;"00°22'2""E";"10°38'4""";73,63;4
687;GNIBOUTIGOU;"00°29'5""E";"10°37'5""";65;0,67
688;NAMBOSSI;"00°37'4""E";"09°54'1""";53,1;8,55
689;TCHANTCHARISSOU;"00°30'4""E";"09°57'4""";62;8,03
690;MANTCHE;"00°20'3""E";"10°19'3""";64;8,1
691;SOTOCO PERIMETRE;"00°23'5""E";"10°27'0""";66;2,19
692;LEGBANDO;"00°34'1""E";"09°56'5""";49,1;2,3
693;KABOUFIESSOU;"00°29'5""E";"09°58'0""";52;6,04
694;BONTROGA;"00°37'5""E";"10°24'4""";53;1,48
695;FAGO;"00°38'4""E";"10°24'2""";67;
696;BAKANOU;"00°38'5""E";"10°21'3""";74;2,42
697;KPAONG;"00°40'1""E";"10°24'0""";55;8,26
698;NASSIEGOU II;"00°19'4""E";"10°35'4""";36;2,5
699;KAROUKOU;"00°46'1""E";"10°29'0""";67,59;2,3
700;NAKOTI  I;"00°43'1""E";"10°20'5""";;
701;NAKOTI  II;"00°43'1""E";"10°21'5""";;
702;NAPOLI;"00°43'2""E";"10°23'1""";61;1,2
703;GABOULI;"00°48'2""E";"10°20'5""";64;1,611
704;BANWOLE;"00°43'2""E";"10°24'0""";;
705;NAKPAGDJOAGA;"00°44'0""E";"10°27'1""";;
706;KOLDAGA;"00°44'4""E";"10°26'3""";;
707;NADENGOU;"00°44'0""E";"10°29'5""";43,07;1,7
708;KPENHANI;"00°41'0""E";"10°27'2""";51,63;0,815
709;TOKPLI;"00°42'0""E";"10°25'1""";;
710;NAGBANGOU;"00°28'4""E";"10°00'1""";100;1,6
711;TAKPAMBA;"00°34'5""E";"09°58'0""";70;1,5
712;TAKPAMBA;"00°34'3""E";"09°58'1""";42,91;9
713;TAKPAMBA;"00°34'4""E";"09°58'0""";55;9
714;TAKPAMBA;"00°34'2""E";"09°58'0""";49;10
715;TODJAKOU;"00°45'2""E";"10°32'2""";;
716;BARKOISSI;"00°17'5""E";"10°32'2""";56,9;3,6
717;BARKOISSI;"00°18'1""E";"10°36'0""";60;4,9
718;NAMONI;"00°44'5""E";"10°19'5""";66;6
719;SAKOU;"00°47'2""E";"10°21'0""";43,16;1,4
720;NAMONI;"00°44'5""E";"10°19'4""";58;2
721;BARKOISSI;"00°18'0""E";"10°32'5""";;
722;SAGBIEBOU;"00°38'3""E";"10°14'4""";37;2,5
723;TCHARGBENE;"00°43'5""E";"10°20'5""";33,23;
724;DJAKPANI;"00°40'4""E";"10°17'4""";42,16;1,2
725;PANGA;"00°40'3""E";"10°03'4""";80;4
726;PANGA ZONGO;"00°40'0""E";"10°03'2""";56,3;0,967
727;FIENGA;"00°39'5""E";"10°00'4""";35;6,327
728;PANGA;"00°39'3""E";"10°02'4""";55,65;0,492
729;SAMTI;"00°36'0""E";"10°02'3""";40,67;2,333
730;TRIBONGOU;"00°33'2""E";"10°00'3""";49,1;2,4
731;SAMTI-BONFOSSOU;"00°36'0""E";"10°02'3""";;
732;NALI CENTRE HANGO;"00°27'1""E";"10°02'2""";;
733;NALI CENTRE HANGO;"00°26'5""E";"10°03'0""";69,62;2,5
734;NOMBA;"00°27'5""E";"10°02'5""";;
735;TOULEBA;"00°30'0""E";"10°04'3""";37,56;1,1
736;NALOKOU;"00°31'0""E";"10°04'4""";;
737;TABABOU;"00°32'4""E";"10°04'4""";74,26;0,7
738;DJAWAKA;"00°32'0""E";"10°08'0""";79;0,8
739;NABA;"00°32'3""E";"10°07'1""";;
740;DJE-BOURI;"00°45'1""E";"10°21'1""";51,32;1,7
741;PANGA;"00°40'4""E";"10°04'1""";55;3,8
742;KPOKOU;"00°41'5""E";"10°29'4""";35;2,2
743;NAMOUMALE;"00°36'2""E";"10°24'5""";78,8;2
744;KANKANGOU;"00°21'5""E";"10°39'4""";;1
745;NALOBA;"00°33'5""E";"10°03'3""";;
746;NAGBENI CENTRE;"00°23'5""E";"10°36'3""";81,15;0,5
747;BAOULE;"00°35'0""E";"10°16'1""";54,23;8
748;BAOULE;"00°33'3""E";"10°16'0""";33,18;1,8
749;TOPIEGA;"00°46'2""E";"10°33'0""";42,38;4
750;NADAGA;"00°41'1""E";"10°25'3""";78;1,3
751;WONKOBA;"00°32'3""E";"10°03'1""";51,36;6
752;NAMKPANA;"00°45'0""E";"10°20'3""";;
753;PANGA;"00°41'0""E";"10°03'4""";60,48;3,1
754;PANGA;"00°38'5""E";"10°02'1""";42,21;4,5
755;KOUNKOUNKPE OTI II;"00°40'5""E";"10°04'5""";51,34;3,3
756;KOKOU-BOSSOU;"00°37'4""E";"10°01'0""";42,32;3,026
757;NALAKOU;"00°36'4""E";"10°03'0""";80;1,5
758;AYABA  B;"00°41'3""E";"10°22'1""";;
759;TCHINTCHILINGA;"00°35'5""E";"10°23'5""";80;0,9
760;BAOULE;"00°34'4""E";"10°15'4""";46,62;0,9
761;FOMBORO;"00°28'3""E";"10°21'0""";;
762;GALANGASHIE;"00°21'1""E";"10°30'1""";47,85;1,6
763;NAGOLGOU;"00°31'4""E";"10°00'1""";;
764;KANGOUNOU;"00°38'2""E";"10°01'0""";47,29;6,327
765;KEREKETENOU;"00°35'5""E";"10°00'4""";;
766;LENIDO;"00°35'4""E";"09°56'4""";;
767;LENIDO;"00°35'5""E";"09°56'4""";52,4;
768;BATORI;"00°45'3""E";"10°33'5""";;
769;NANDIKI;"00°28'2""E";"10°10'3""";;1,4
770;NANDIKI;"00°28'2""E";"10°10'2""";;7,5
771;KOUMONGOU;"00°27'0""E";"10°11'2""";78;
772;KOUMONGOU;"00°26'4""E";"10°11'1""";;
773;SAGBIEBOU;"00°38'3""E";"10°14'2""";42,2;0,9
774;DILEKA;"00°37'2""E";"10°15'0""";;
775;DILEKA;"00°36'4""E";"10°16'3""";;
776;INAYONI;"00°53'1""E";"10°14'1""";;
777;SAMBABE;"00°52'3""E";"10°16'1""";43,2;9,5
778;NAMONI;"00°45'0""E";"10°19'2""";58,46;2,88
779;NAMONI;"00°44'5""E";"10°19'5""";52,5;5,6
780;TANGNIEKA;"00°46'0""E";"10°27'4""";56,15;3,5
781;DANWOGA;"00°43'2""E";"10°26'0""";;
782;NASSIKA;"00°44'0""E";"10°21'5""";;
783;TCHAMWIEKOU-KPARABANOU;"00°33'0""E";"10°16'4""";;1,6
784;DAKORGA;"00°36'5""E";"10°25'5""";;
785;MOGOU;"00°37'5""E";"10°23'4""";60;0,9
786;GBETI;"00°35'1""E";"10°26'1""";;
787;GBALODI;"00°33'4""E";"10°27'2""";;
788;TODJAKOU;"00°45'0""E";"10°31'1""";;
789;KOROKOU;"00°46'3""E";"10°35'2""";61,28;1,5
790;TODJAKOU;"00°46'1""E";"10°30'4""";;
791;NAKITONI;"00°41'1""E";"10°26'5""";;
792;TCHABARE;"00°39'1""E";"10°23'4""";;
793;NAYOH;"00°34'3""E";"10°28'5""";67;1,2
794;BONZOUKOU;"00°38'1""E";"10°18'4""";;
795;NAMONI;"00°44'5""E";"10°19'5""";43;8,8
796;NAMONI;"00°44'5""E";"10°19'4""";;
797;SAGBIEBOU;"00°38'5""E";"10°13'3""";;
798;BAPOTI;"00°51'1""E";"10°16'5""";35,5;
799;KOUNKOUNKPE OTI II;"00°40'1""E";"10°05'4""";46,89;9,733
800;DJALORE;"00°39'1""E";"10°06'0""";;12,5
801;FIENGA;"00°40'4""E";"10°02'4""";;
802;KANGOUNOU;"00°38'3""E";"10°01'4""";49;12
803;KANGOUNOU;"00°38'1""E";"10°01'2""";;
804;KOKOU-BOSSOU;"00°37'3""E";"10°01'2""";;
805;KOUNTCHA;"00°37'1""E";"10°00'1""";;
806;SAMTI;"00°36'0""E";"10°01'3""";57,23;1,422
807;TOULEBA;"00°29'5""E";"10°04'4""";;
808;TABABOU;"00°32'3""E";"10°04'5""";;
809;NAMATI;"00°33'3""E";"10°08'5""";;
810;AYIKPERE;"00°37'3""E";"10°05'0""";55,3;5,378
811;TIAKASSOU;"00°37'3""E";"10°06'1""";55;3,5
812;KOUNTOIRE-CENTRE;"00°36'5""E";"10°06'4""";49;22
813;KOUMONGOU;"00°26'4""E";"10°10'4""";46;
814;KPAYO;"00°41'1""E";"10°14'0""";;
815;KPAYO;"00°41'1""E";"10°13'5""";;
816;KPAYO;"00°41'5""E";"10°13'5""";;
817;KPAYO;"00°42'0""E";"10°13'3""";;
818;KPAYO;"00°42'5""E";"10°14'2""";;
819;KPAYO;"00°45'3""E";"10°14'2""";;
820;SAGBIEBOU;"00°39'3""E";"10°16'0""";54,4;
821;BOGHARI;"00°40'4""E";"10°16'4""";;
822;BONI;"00°38'1""E";"10°17'5""";36;4,5
823;NAMONI;"00°44'3""E";"10°19'5""";37,2;14
824;DJE-BOURI;"00°45'2""E";"10°21'0""";50,26;
825;BAKANOU;"00°38'5""E";"10°21'3""";;
826;NAYOH;"00°35'0""E";"10°28'4""";67,25;2,2
827;GBETI;"00°35'1""E";"10°24'0""";61,56;1,5
828;TCHAMKPERE;"00°37'0""E";"10°26'5""";55;1,5
829;NAKPAGDJOAGA;"00°43'1""E";"10°26'5""";;
830;TCHANKPE-BOSSOU;"00°37'2""E";"10°02'1""";;
831;FOMBORO;"00°37'5""E";"10°01'2""";48;11
832;KOUNTOIRE/SONGBAL;"00°36'0""E";"10°08'0""";55,79;7,171
833;KPOKOU;"00°43'1""E";"10°29'1""";;
